,RGIId
1014,RGI60-11.01015
1015,RGI60-11.01016
1016,RGI60-11.01017
1017,RGI60-11.01018
1018,RGI60-11.01019
1019,RGI60-11.01020
1020,RGI60-11.01021
1021,RGI60-11.01022
1022,RGI60-11.01023
1023,RGI60-11.01024
1024,RGI60-11.01025
1025,RGI60-11.01026
1026,RGI60-11.01027
1027,RGI60-11.01028
1028,RGI60-11.01029
1029,RGI60-11.01030
1030,RGI60-11.01031
1031,RGI60-11.01032
1032,RGI60-11.01033
1033,RGI60-11.01034
1034,RGI60-11.01035
1035,RGI60-11.01036
1036,RGI60-11.01037
1037,RGI60-11.01038
1038,RGI60-11.01039
1039,RGI60-11.01040
1040,RGI60-11.01041
1041,RGI60-11.01042
1042,RGI60-11.01043
1043,RGI60-11.01044
1044,RGI60-11.01045
1045,RGI60-11.01046
1046,RGI60-11.01047
1047,RGI60-11.01048
1048,RGI60-11.01049
1049,RGI60-11.01050
1050,RGI60-11.01051
1051,RGI60-11.01052
1052,RGI60-11.01053
1053,RGI60-11.01054
1054,RGI60-11.01055
1055,RGI60-11.01056
1056,RGI60-11.01057
1057,RGI60-11.01058
1058,RGI60-11.01059
1059,RGI60-11.01060
1060,RGI60-11.01061
1061,RGI60-11.01062
1062,RGI60-11.01063
1063,RGI60-11.01064
1064,RGI60-11.01065
1065,RGI60-11.01066
1066,RGI60-11.01067
1067,RGI60-11.01068
1068,RGI60-11.01069
1069,RGI60-11.01070
1070,RGI60-11.01071
1071,RGI60-11.01072
1072,RGI60-11.01073
1073,RGI60-11.01074
1074,RGI60-11.01075
1075,RGI60-11.01076
1076,RGI60-11.01077
1077,RGI60-11.01078
1078,RGI60-11.01079
1079,RGI60-11.01080
1080,RGI60-11.01081
1081,RGI60-11.01082
1082,RGI60-11.01083
1083,RGI60-11.01084
1084,RGI60-11.01085
1085,RGI60-11.01086
1086,RGI60-11.01087
1087,RGI60-11.01088
1088,RGI60-11.01089
1089,RGI60-11.01090
1090,RGI60-11.01091
1091,RGI60-11.01092
1092,RGI60-11.01093
1093,RGI60-11.01094
1094,RGI60-11.01095
1095,RGI60-11.01096
1096,RGI60-11.01097
1097,RGI60-11.01098
1098,RGI60-11.01099
1099,RGI60-11.01100
1100,RGI60-11.01101
1101,RGI60-11.01102
1102,RGI60-11.01103
1103,RGI60-11.01104
1104,RGI60-11.01105
1105,RGI60-11.01106
1106,RGI60-11.01107
1107,RGI60-11.01108
1108,RGI60-11.01109
1109,RGI60-11.01110
1110,RGI60-11.01111
1111,RGI60-11.01112
1112,RGI60-11.01113
1113,RGI60-11.01114
1114,RGI60-11.01115
1115,RGI60-11.01116
1116,RGI60-11.01117
1117,RGI60-11.01118
1118,RGI60-11.01119
1119,RGI60-11.01120
1120,RGI60-11.01121
1121,RGI60-11.01122
1122,RGI60-11.01123
1123,RGI60-11.01124
1124,RGI60-11.01125
1125,RGI60-11.01126
1126,RGI60-11.01127
1127,RGI60-11.01128
1128,RGI60-11.01129
1129,RGI60-11.01130
1130,RGI60-11.01131
1131,RGI60-11.01132
1132,RGI60-11.01133
1133,RGI60-11.01134
1134,RGI60-11.01135
1135,RGI60-11.01136
1136,RGI60-11.01137
1137,RGI60-11.01138
1138,RGI60-11.01139
1139,RGI60-11.01140
1140,RGI60-11.01141
1141,RGI60-11.01142
1142,RGI60-11.01143
1143,RGI60-11.01144
1144,RGI60-11.01145
1145,RGI60-11.01146
1146,RGI60-11.01147
1147,RGI60-11.01148
1148,RGI60-11.01149
1149,RGI60-11.01150
1150,RGI60-11.01151
1151,RGI60-11.01152
1152,RGI60-11.01153
1153,RGI60-11.01154
1154,RGI60-11.01155
1155,RGI60-11.01156
1156,RGI60-11.01157
1157,RGI60-11.01158
1158,RGI60-11.01159
1159,RGI60-11.01160
1160,RGI60-11.01161
1161,RGI60-11.01162
1162,RGI60-11.01163
1163,RGI60-11.01164
1164,RGI60-11.01165
1165,RGI60-11.01166
1166,RGI60-11.01167
1167,RGI60-11.01168
1168,RGI60-11.01169
1169,RGI60-11.01170
1170,RGI60-11.01171
1171,RGI60-11.01172
1172,RGI60-11.01173
1173,RGI60-11.01174
1174,RGI60-11.01175
1175,RGI60-11.01176
1176,RGI60-11.01177
1177,RGI60-11.01178
1178,RGI60-11.01179
1179,RGI60-11.01180
1180,RGI60-11.01181
1181,RGI60-11.01182
1182,RGI60-11.01183
1183,RGI60-11.01184
1184,RGI60-11.01185
1185,RGI60-11.01186
1186,RGI60-11.01187
1187,RGI60-11.01188
1188,RGI60-11.01189
1189,RGI60-11.01190
1190,RGI60-11.01191
1191,RGI60-11.01192
1192,RGI60-11.01193
1193,RGI60-11.01194
1194,RGI60-11.01195
1195,RGI60-11.01196
1196,RGI60-11.01197
1197,RGI60-11.01198
1198,RGI60-11.01199
1199,RGI60-11.01200
1200,RGI60-11.01201
1201,RGI60-11.01202
1202,RGI60-11.01203
1203,RGI60-11.01204
1204,RGI60-11.01205
1205,RGI60-11.01206
1206,RGI60-11.01207
1207,RGI60-11.01208
1208,RGI60-11.01209
1209,RGI60-11.01210
1210,RGI60-11.01211
1211,RGI60-11.01212
1212,RGI60-11.01213
1213,RGI60-11.01214
1214,RGI60-11.01215
1215,RGI60-11.01216
1216,RGI60-11.01217
1217,RGI60-11.01218
1218,RGI60-11.01219
1219,RGI60-11.01220
1220,RGI60-11.01221
1221,RGI60-11.01222
1222,RGI60-11.01223
1223,RGI60-11.01224
1224,RGI60-11.01225
1225,RGI60-11.01226
1226,RGI60-11.01227
1227,RGI60-11.01228
1228,RGI60-11.01229
1229,RGI60-11.01230
1230,RGI60-11.01231
1231,RGI60-11.01232
1232,RGI60-11.01233
1233,RGI60-11.01234
1234,RGI60-11.01235
1235,RGI60-11.01236
1236,RGI60-11.01237
1237,RGI60-11.01238
1238,RGI60-11.01239
1239,RGI60-11.01240
1240,RGI60-11.01241
1241,RGI60-11.01242
1242,RGI60-11.01243
1243,RGI60-11.01244
1244,RGI60-11.01245
1245,RGI60-11.01246
1246,RGI60-11.01247
1247,RGI60-11.01248
1248,RGI60-11.01249
1249,RGI60-11.01250
1250,RGI60-11.01251
1251,RGI60-11.01252
1252,RGI60-11.01253
1253,RGI60-11.01254
1254,RGI60-11.01255
1255,RGI60-11.01256
1256,RGI60-11.01257
1257,RGI60-11.01258
1258,RGI60-11.01259
1259,RGI60-11.01260
1260,RGI60-11.01261
1261,RGI60-11.01262
1262,RGI60-11.01263
1263,RGI60-11.01264
1264,RGI60-11.01265
1265,RGI60-11.01266
1266,RGI60-11.01267
1267,RGI60-11.01268
1268,RGI60-11.01269
1269,RGI60-11.01270
1270,RGI60-11.01271
1271,RGI60-11.01272
1272,RGI60-11.01273
1273,RGI60-11.01274
1274,RGI60-11.01275
1275,RGI60-11.01276
1276,RGI60-11.01277
1277,RGI60-11.01278
1278,RGI60-11.01279
1279,RGI60-11.01280
1280,RGI60-11.01281
1281,RGI60-11.01282
1282,RGI60-11.01283
1283,RGI60-11.01284
1284,RGI60-11.01285
1285,RGI60-11.01286
1286,RGI60-11.01287
1287,RGI60-11.01288
1288,RGI60-11.01289
1289,RGI60-11.01290
1290,RGI60-11.01291
1291,RGI60-11.01292
1292,RGI60-11.01293
1293,RGI60-11.01294
1294,RGI60-11.01295
1295,RGI60-11.01296
1296,RGI60-11.01297
1297,RGI60-11.01298
1298,RGI60-11.01299
1299,RGI60-11.01300
1300,RGI60-11.01301
1301,RGI60-11.01302
1302,RGI60-11.01303
1303,RGI60-11.01304
1304,RGI60-11.01305
1305,RGI60-11.01306
1306,RGI60-11.01307
1307,RGI60-11.01308
1308,RGI60-11.01309
1309,RGI60-11.01310
1310,RGI60-11.01311
1311,RGI60-11.01312
1312,RGI60-11.01313
1313,RGI60-11.01314
1314,RGI60-11.01315
1315,RGI60-11.01316
1316,RGI60-11.01317
1317,RGI60-11.01318
1318,RGI60-11.01319
1319,RGI60-11.01320
1320,RGI60-11.01321
1321,RGI60-11.01322
1322,RGI60-11.01323
1323,RGI60-11.01324
1324,RGI60-11.01325
1325,RGI60-11.01326
1326,RGI60-11.01327
1327,RGI60-11.01328
1328,RGI60-11.01329
1329,RGI60-11.01330
1330,RGI60-11.01331
1331,RGI60-11.01332
1332,RGI60-11.01333
1333,RGI60-11.01334
1334,RGI60-11.01335
1335,RGI60-11.01336
1336,RGI60-11.01337
1337,RGI60-11.01338
1338,RGI60-11.01339
1339,RGI60-11.01340
1340,RGI60-11.01341
1341,RGI60-11.01342
1342,RGI60-11.01343
1343,RGI60-11.01344
1344,RGI60-11.01345
1345,RGI60-11.01346
1346,RGI60-11.01347
1347,RGI60-11.01348
1348,RGI60-11.01349
1349,RGI60-11.01350
1350,RGI60-11.01351
1351,RGI60-11.01352
1352,RGI60-11.01353
1353,RGI60-11.01354
1354,RGI60-11.01355
1355,RGI60-11.01356
1356,RGI60-11.01357
1357,RGI60-11.01358
1358,RGI60-11.01359
1359,RGI60-11.01360
1360,RGI60-11.01361
1361,RGI60-11.01362
1362,RGI60-11.01363
1363,RGI60-11.01364
1364,RGI60-11.01365
1365,RGI60-11.01366
1366,RGI60-11.01367
1367,RGI60-11.01368
1368,RGI60-11.01369
1369,RGI60-11.01370
1370,RGI60-11.01371
1371,RGI60-11.01372
1372,RGI60-11.01373
1373,RGI60-11.01374
1374,RGI60-11.01375
1375,RGI60-11.01376
1376,RGI60-11.01377
1377,RGI60-11.01378
1378,RGI60-11.01379
1379,RGI60-11.01380
1380,RGI60-11.01381
1381,RGI60-11.01382
1382,RGI60-11.01383
1383,RGI60-11.01384
1384,RGI60-11.01385
1385,RGI60-11.01386
1386,RGI60-11.01387
1387,RGI60-11.01388
1388,RGI60-11.01389
1389,RGI60-11.01390
1390,RGI60-11.01391
1391,RGI60-11.01392
1392,RGI60-11.01393
1393,RGI60-11.01394
1394,RGI60-11.01395
1395,RGI60-11.01396
1396,RGI60-11.01397
1397,RGI60-11.01398
1398,RGI60-11.01399
1399,RGI60-11.01400
1400,RGI60-11.01401
1401,RGI60-11.01402
1402,RGI60-11.01403
1403,RGI60-11.01404
1404,RGI60-11.01405
1405,RGI60-11.01406
1406,RGI60-11.01407
1407,RGI60-11.01408
1408,RGI60-11.01409
1409,RGI60-11.01410
1410,RGI60-11.01411
1411,RGI60-11.01412
1412,RGI60-11.01413
1413,RGI60-11.01414
1414,RGI60-11.01415
1415,RGI60-11.01416
1416,RGI60-11.01417
1417,RGI60-11.01418
1418,RGI60-11.01419
1419,RGI60-11.01420
1420,RGI60-11.01421
1421,RGI60-11.01422
1422,RGI60-11.01423
1423,RGI60-11.01424
1424,RGI60-11.01425
1425,RGI60-11.01426
1426,RGI60-11.01427
1427,RGI60-11.01428
1428,RGI60-11.01429
1429,RGI60-11.01430
1430,RGI60-11.01431
1431,RGI60-11.01432
1432,RGI60-11.01433
1433,RGI60-11.01434
1434,RGI60-11.01435
1435,RGI60-11.01436
1436,RGI60-11.01437
1437,RGI60-11.01438
1438,RGI60-11.01439
1439,RGI60-11.01440
1440,RGI60-11.01441
1441,RGI60-11.01442
1442,RGI60-11.01443
1443,RGI60-11.01444
1444,RGI60-11.01445
1445,RGI60-11.01446
1446,RGI60-11.01447
1447,RGI60-11.01448
1448,RGI60-11.01449
1449,RGI60-11.01450
1450,RGI60-11.01451
1451,RGI60-11.01452
1452,RGI60-11.01453
1453,RGI60-11.01454
1454,RGI60-11.01455
1455,RGI60-11.01456
1456,RGI60-11.01457
1457,RGI60-11.01458
1458,RGI60-11.01459
1459,RGI60-11.01460
1460,RGI60-11.01461
1461,RGI60-11.01462
1462,RGI60-11.01463
1463,RGI60-11.01464
1464,RGI60-11.01465
1465,RGI60-11.01466
1466,RGI60-11.01467
1467,RGI60-11.01468
1468,RGI60-11.01469
1469,RGI60-11.01470
1470,RGI60-11.01471
1471,RGI60-11.01472
1472,RGI60-11.01473
1473,RGI60-11.01474
1474,RGI60-11.01475
1475,RGI60-11.01476
1476,RGI60-11.01477
1477,RGI60-11.01478
1478,RGI60-11.01479
1479,RGI60-11.01480
1480,RGI60-11.01481
1481,RGI60-11.01482
1482,RGI60-11.01483
1483,RGI60-11.01484
1484,RGI60-11.01485
1485,RGI60-11.01486
1486,RGI60-11.01487
1487,RGI60-11.01488
1488,RGI60-11.01489
1489,RGI60-11.01490
1490,RGI60-11.01491
1491,RGI60-11.01492
1492,RGI60-11.01493
1493,RGI60-11.01494
1494,RGI60-11.01495
1495,RGI60-11.01496
1496,RGI60-11.01497
1497,RGI60-11.01498
1498,RGI60-11.01499
1499,RGI60-11.01500
1500,RGI60-11.01501
1501,RGI60-11.01502
1502,RGI60-11.01503
1503,RGI60-11.01504
1504,RGI60-11.01505
1505,RGI60-11.01506
1506,RGI60-11.01507
1507,RGI60-11.01508
1508,RGI60-11.01509
1509,RGI60-11.01510
1510,RGI60-11.01511
1511,RGI60-11.01512
1512,RGI60-11.01513
1513,RGI60-11.01514
1514,RGI60-11.01515
1515,RGI60-11.01516
1516,RGI60-11.01517
1517,RGI60-11.01518
1518,RGI60-11.01519
1519,RGI60-11.01520
1520,RGI60-11.01521
1521,RGI60-11.01522
1522,RGI60-11.01523
1523,RGI60-11.01524
1524,RGI60-11.01525
1525,RGI60-11.01526
1526,RGI60-11.01527
1527,RGI60-11.01528
1528,RGI60-11.01529
1529,RGI60-11.01530
1530,RGI60-11.01531
1531,RGI60-11.01532
1532,RGI60-11.01533
1533,RGI60-11.01534
1534,RGI60-11.01535
1535,RGI60-11.01536
1536,RGI60-11.01537
1537,RGI60-11.01538
1538,RGI60-11.01539
1539,RGI60-11.01540
1540,RGI60-11.01541
1541,RGI60-11.01542
1542,RGI60-11.01543
1543,RGI60-11.01544
1544,RGI60-11.01545
1545,RGI60-11.01546
1546,RGI60-11.01547
1547,RGI60-11.01548
1548,RGI60-11.01549
1549,RGI60-11.01550
1550,RGI60-11.01551
1551,RGI60-11.01552
1552,RGI60-11.01553
1553,RGI60-11.01554
1554,RGI60-11.01555
1555,RGI60-11.01556
1556,RGI60-11.01557
1557,RGI60-11.01558
1558,RGI60-11.01559
1559,RGI60-11.01560
1560,RGI60-11.01561
1561,RGI60-11.01562
1562,RGI60-11.01563
1563,RGI60-11.01564
1564,RGI60-11.01565
1565,RGI60-11.01566
1566,RGI60-11.01567
1567,RGI60-11.01568
1568,RGI60-11.01569
1569,RGI60-11.01570
1570,RGI60-11.01571
1571,RGI60-11.01572
1572,RGI60-11.01573
1573,RGI60-11.01574
1574,RGI60-11.01575
1575,RGI60-11.01576
1576,RGI60-11.01577
1577,RGI60-11.01578
1578,RGI60-11.01579
1579,RGI60-11.01580
1580,RGI60-11.01581
1581,RGI60-11.01582
1582,RGI60-11.01583
1583,RGI60-11.01584
1584,RGI60-11.01585
1585,RGI60-11.01586
1586,RGI60-11.01587
1587,RGI60-11.01588
1588,RGI60-11.01589
1589,RGI60-11.01590
1590,RGI60-11.01591
1591,RGI60-11.01592
1592,RGI60-11.01593
1593,RGI60-11.01594
1594,RGI60-11.01595
1595,RGI60-11.01596
1596,RGI60-11.01597
1597,RGI60-11.01598
1598,RGI60-11.01599
1599,RGI60-11.01600
1600,RGI60-11.01601
1601,RGI60-11.01602
1602,RGI60-11.01603
1603,RGI60-11.01604
1604,RGI60-11.01605
1605,RGI60-11.01606
1606,RGI60-11.01607
1607,RGI60-11.01608
1608,RGI60-11.01609
1609,RGI60-11.01610
1610,RGI60-11.01611
1611,RGI60-11.01612
1612,RGI60-11.01613
1613,RGI60-11.01614
1614,RGI60-11.01615
1615,RGI60-11.01616
1616,RGI60-11.01617
1617,RGI60-11.01618
1618,RGI60-11.01619
1619,RGI60-11.01620
1620,RGI60-11.01621
1621,RGI60-11.01622
1622,RGI60-11.01623
1623,RGI60-11.01624
1624,RGI60-11.01625
1625,RGI60-11.01626
1626,RGI60-11.01627
1627,RGI60-11.01628
1628,RGI60-11.01629
1629,RGI60-11.01630
1630,RGI60-11.01631
1631,RGI60-11.01632
1632,RGI60-11.01633
1633,RGI60-11.01634
1634,RGI60-11.01635
1635,RGI60-11.01636
1636,RGI60-11.01637
1637,RGI60-11.01638
1638,RGI60-11.01639
1639,RGI60-11.01640
1640,RGI60-11.01641
1641,RGI60-11.01642
1642,RGI60-11.01643
1643,RGI60-11.01644
1644,RGI60-11.01645
1645,RGI60-11.01646
1646,RGI60-11.01647
1647,RGI60-11.01648
1648,RGI60-11.01649
1649,RGI60-11.01650
1650,RGI60-11.01651
1651,RGI60-11.01652
1652,RGI60-11.01653
1653,RGI60-11.01654
1654,RGI60-11.01655
1655,RGI60-11.01656
1656,RGI60-11.01657
1657,RGI60-11.01658
1658,RGI60-11.01659
1659,RGI60-11.01660
1660,RGI60-11.01661
1661,RGI60-11.01662
1662,RGI60-11.01663
1663,RGI60-11.01664
1664,RGI60-11.01665
1665,RGI60-11.01666
1666,RGI60-11.01667
1667,RGI60-11.01668
1668,RGI60-11.01669
1669,RGI60-11.01670
1670,RGI60-11.01671
1671,RGI60-11.01672
1672,RGI60-11.01673
1673,RGI60-11.01674
1674,RGI60-11.01675
1675,RGI60-11.01676
1676,RGI60-11.01677
1677,RGI60-11.01678
1678,RGI60-11.01679
1679,RGI60-11.01680
1680,RGI60-11.01681
1681,RGI60-11.01682
1682,RGI60-11.01683
1683,RGI60-11.01684
1684,RGI60-11.01685
1685,RGI60-11.01686
1686,RGI60-11.01687
1687,RGI60-11.01688
1688,RGI60-11.01689
1689,RGI60-11.01690
1690,RGI60-11.01691
1691,RGI60-11.01692
1692,RGI60-11.01693
1693,RGI60-11.01694
1694,RGI60-11.01695
1695,RGI60-11.01696
1696,RGI60-11.01697
1697,RGI60-11.01698
1698,RGI60-11.01699
1699,RGI60-11.01700
1700,RGI60-11.01701
1701,RGI60-11.01702
1702,RGI60-11.01703
1703,RGI60-11.01704
1704,RGI60-11.01705
1705,RGI60-11.01706
1706,RGI60-11.01707
1707,RGI60-11.01708
1708,RGI60-11.01709
1709,RGI60-11.01710
1710,RGI60-11.01711
1711,RGI60-11.01712
1712,RGI60-11.01713
1713,RGI60-11.01714
1714,RGI60-11.01715
1715,RGI60-11.01716
1716,RGI60-11.01717
1717,RGI60-11.01718
1718,RGI60-11.01719
1719,RGI60-11.01720
1720,RGI60-11.01721
1721,RGI60-11.01722
1722,RGI60-11.01723
1723,RGI60-11.01724
1724,RGI60-11.01725
1725,RGI60-11.01726
1726,RGI60-11.01727
1727,RGI60-11.01728
1728,RGI60-11.01729
1729,RGI60-11.01730
1730,RGI60-11.01731
1731,RGI60-11.01732
1732,RGI60-11.01733
1733,RGI60-11.01734
1734,RGI60-11.01735
1735,RGI60-11.01736
1736,RGI60-11.01737
1737,RGI60-11.01738
1738,RGI60-11.01739
1739,RGI60-11.01740
1740,RGI60-11.01741
1741,RGI60-11.01742
1742,RGI60-11.01743
1743,RGI60-11.01744
1744,RGI60-11.01745
1745,RGI60-11.01746
1746,RGI60-11.01747
1747,RGI60-11.01748
1748,RGI60-11.01749
1749,RGI60-11.01750
1750,RGI60-11.01751
1751,RGI60-11.01752
1752,RGI60-11.01753
1753,RGI60-11.01754
1754,RGI60-11.01755
1755,RGI60-11.01756
1756,RGI60-11.01757
1757,RGI60-11.01758
1758,RGI60-11.01759
1759,RGI60-11.01760
1760,RGI60-11.01761
1761,RGI60-11.01762
1762,RGI60-11.01763
1763,RGI60-11.01764
1764,RGI60-11.01765
1765,RGI60-11.01766
1766,RGI60-11.01767
1767,RGI60-11.01768
1768,RGI60-11.01769
1769,RGI60-11.01770
1770,RGI60-11.01771
1771,RGI60-11.01772
1772,RGI60-11.01773
1773,RGI60-11.01774
1774,RGI60-11.01775
1775,RGI60-11.01776
1776,RGI60-11.01777
1777,RGI60-11.01778
1778,RGI60-11.01779
1779,RGI60-11.01780
1780,RGI60-11.01781
1781,RGI60-11.01782
1782,RGI60-11.01783
1783,RGI60-11.01784
1784,RGI60-11.01785
1785,RGI60-11.01786
1786,RGI60-11.01787
1787,RGI60-11.01788
1788,RGI60-11.01789
1789,RGI60-11.01790
1790,RGI60-11.01791
1791,RGI60-11.01792
1792,RGI60-11.01793
1793,RGI60-11.01794
1794,RGI60-11.01795
1795,RGI60-11.01796
1796,RGI60-11.01797
1797,RGI60-11.01798
1798,RGI60-11.01799
1799,RGI60-11.01800
1800,RGI60-11.01801
1801,RGI60-11.01802
1802,RGI60-11.01803
1803,RGI60-11.01804
1804,RGI60-11.01805
1805,RGI60-11.01806
1806,RGI60-11.01807
1807,RGI60-11.01808
1808,RGI60-11.01809
1809,RGI60-11.01810
1810,RGI60-11.01811
1811,RGI60-11.01812
1812,RGI60-11.01813
1813,RGI60-11.01814
1814,RGI60-11.01815
1815,RGI60-11.01816
1816,RGI60-11.01817
1817,RGI60-11.01818
1818,RGI60-11.01819
1819,RGI60-11.01820
1820,RGI60-11.01821
1821,RGI60-11.01822
1822,RGI60-11.01823
1823,RGI60-11.01824
1824,RGI60-11.01825
1825,RGI60-11.01826
1826,RGI60-11.01827
1827,RGI60-11.01828
1828,RGI60-11.01829
1829,RGI60-11.01830
1830,RGI60-11.01831
1831,RGI60-11.01832
1832,RGI60-11.01833
1833,RGI60-11.01834
1834,RGI60-11.01835
1835,RGI60-11.01836
1836,RGI60-11.01837
1837,RGI60-11.01838
1838,RGI60-11.01839
1839,RGI60-11.01840
1840,RGI60-11.01841
1841,RGI60-11.01842
1842,RGI60-11.01843
1843,RGI60-11.01844
1844,RGI60-11.01845
1845,RGI60-11.01846
1846,RGI60-11.01847
1847,RGI60-11.01848
1848,RGI60-11.01849
1849,RGI60-11.01850
1850,RGI60-11.01851
1851,RGI60-11.01852
1852,RGI60-11.01853
1853,RGI60-11.01854
1854,RGI60-11.01855
1855,RGI60-11.01856
1856,RGI60-11.01857
1857,RGI60-11.01858
1858,RGI60-11.01859
1859,RGI60-11.01860
1860,RGI60-11.01861
1861,RGI60-11.01862
1862,RGI60-11.01863
1863,RGI60-11.01864
1864,RGI60-11.01865
1865,RGI60-11.01866
1866,RGI60-11.01867
1867,RGI60-11.01868
1868,RGI60-11.01869
1869,RGI60-11.01870
1870,RGI60-11.01871
1871,RGI60-11.01872
1872,RGI60-11.01873
1873,RGI60-11.01874
1874,RGI60-11.01875
1875,RGI60-11.01876
1876,RGI60-11.01877
1877,RGI60-11.01878
1878,RGI60-11.01879
1879,RGI60-11.01880
1880,RGI60-11.01881
1881,RGI60-11.01882
1882,RGI60-11.01883
1883,RGI60-11.01884
1884,RGI60-11.01885
1885,RGI60-11.01886
1886,RGI60-11.01887
1887,RGI60-11.01888
1888,RGI60-11.01889
1889,RGI60-11.01890
1890,RGI60-11.01891
1891,RGI60-11.01892
1892,RGI60-11.01893
1893,RGI60-11.01894
1894,RGI60-11.01895
1895,RGI60-11.01896
1896,RGI60-11.01897
1897,RGI60-11.01898
1898,RGI60-11.01899
1899,RGI60-11.01900
1900,RGI60-11.01901
1901,RGI60-11.01902
1902,RGI60-11.01903
1903,RGI60-11.01904
1904,RGI60-11.01905
1905,RGI60-11.01906
1906,RGI60-11.01907
1907,RGI60-11.01908
1908,RGI60-11.01909
1909,RGI60-11.01910
1910,RGI60-11.01911
1911,RGI60-11.01912
1912,RGI60-11.01913
1913,RGI60-11.01914
1914,RGI60-11.01915
1915,RGI60-11.01916
1916,RGI60-11.01917
1917,RGI60-11.01918
1918,RGI60-11.01919
1919,RGI60-11.01920
1920,RGI60-11.01921
1921,RGI60-11.01922
1922,RGI60-11.01923
1923,RGI60-11.01924
1924,RGI60-11.01925
1925,RGI60-11.01926
1926,RGI60-11.01927
1927,RGI60-11.01928
1928,RGI60-11.01929
1929,RGI60-11.01930
1930,RGI60-11.01931
1931,RGI60-11.01932
1932,RGI60-11.01933
1933,RGI60-11.01934
1934,RGI60-11.01935
1935,RGI60-11.01936
1936,RGI60-11.01937
1937,RGI60-11.01938
1938,RGI60-11.01939
1939,RGI60-11.01940
1940,RGI60-11.01941
1941,RGI60-11.01942
1942,RGI60-11.01943
1943,RGI60-11.01944
1944,RGI60-11.01945
1945,RGI60-11.01946
1946,RGI60-11.01947
1947,RGI60-11.01948
1948,RGI60-11.01949
1949,RGI60-11.01950
1950,RGI60-11.01951
1951,RGI60-11.01952
1952,RGI60-11.01953
1953,RGI60-11.01954
1954,RGI60-11.01955
1955,RGI60-11.01956
1956,RGI60-11.01957
1957,RGI60-11.01958
1958,RGI60-11.01959
1959,RGI60-11.01960
1960,RGI60-11.01961
1961,RGI60-11.01962
1962,RGI60-11.01963
1963,RGI60-11.01964
1964,RGI60-11.01965
1965,RGI60-11.01966
1966,RGI60-11.01967
1967,RGI60-11.01968
1968,RGI60-11.01969
1969,RGI60-11.01970
1970,RGI60-11.01971
1971,RGI60-11.01972
1972,RGI60-11.01973
