,length_oggm,area_oggm,volume_oggm
1802,6.9,8.052773570287858,0.8323089625507082
1803,7.0,8.024884934045339,0.8166909658436124
1804,7.0,8.002207781291297,0.8068589338833503
1805,7.1,7.976573097080899,0.7975063770750217
1806,7.0,7.972117276137947,0.805128187152862
1807,6.9,7.949412349955693,0.8004399517863018
1808,6.8,7.915896306290532,0.7817110250602471
1809,6.8,7.885334894885022,0.7689833189052558
1810,6.8,7.877791658587503,0.7712177067014298
1811,6.8,7.868593180983256,0.7737896971502045
1812,6.7,7.845273695973685,0.7654432446565917
1813,6.8,7.833444334080859,0.7663078561090696
1814,6.7,7.85124024124289,0.7849182924642735
1815,6.8,7.859725183735378,0.7929474043778126
1816,6.7,7.862385822144126,0.8019530131265089
1817,6.7,7.894033708216252,0.8251396188154275
1818,6.7,7.892795297015656,0.826076191338304
1819,6.7,7.895759443113164,0.8276633614176788
1820,6.8,7.892649677820925,0.8262810705358692
1821,6.7,7.904245006530088,0.8326103533725013
1822,6.8,7.919598584930332,0.8408423969238242
1823,6.7,7.8913951886023845,0.8195811826440206
1824,6.7,7.885968954962923,0.8189974654331994
1825,6.7,7.88457988579139,0.8169953332656866
1826,6.6,7.8725158606352394,0.8120894564612916
1827,6.7,7.856654214552227,0.7977406128762033
1828,6.7,7.852140599014482,0.7988934342984887
1829,6.7,7.8344723319425835,0.7890946522149191
1830,6.6,7.845278306456856,0.7990059810737173
1831,6.7,7.84592934094313,0.7986772441243506
1832,6.6,7.855955171294092,0.8077354870483322
1833,6.7,7.840068142212849,0.7952793011849855
1834,6.7,7.846058453839962,0.8024094454733283
1835,6.6,7.807125843566952,0.7754460354609751
1836,6.6,7.791253154378562,0.770226204814032
1837,6.6,7.783599413998768,0.7660758855200679
1838,6.5,7.773719407098757,0.7589936203736252
1839,6.6,7.774231221578017,0.763337385056577
1840,6.5,7.763988067565551,0.758407736387899
1841,6.6,7.759841759100552,0.7604836446869011
1842,6.5,7.7536097745589405,0.7620254887179494
1843,6.6,7.738843487823967,0.7531980936187304
1844,6.5,7.753783963989195,0.7660439619335123
1845,6.5,7.752378260011949,0.7709896922419558
1846,6.5,7.762804461088606,0.7833650061979935
1847,6.4,7.732371925824965,0.7647936873025463
1848,6.5,7.7360605568760645,0.7681311333573153
1849,6.4,7.725850226456877,0.7643462065394739
1850,6.5,7.71287675966577,0.7574801199469475
1851,6.4,7.710725114910584,0.7604264385966033
1852,6.5,7.722523813067533,0.7711660565380896
1853,6.5,7.722678511231433,0.7746331346858978
1854,6.4,7.720022039863353,0.7730382718239979
1855,6.4,7.7145543459946015,0.7705617144952529
1856,6.5,7.714560389168725,0.7727212737056262
1857,6.5,7.707931015977016,0.7706704178312103
1858,6.4,7.687957137842217,0.7595772082644471
1859,6.4,7.6732673549781865,0.7534435969980455
1860,6.4,7.651889777700658,0.7399169072408206
1861,6.4,7.659182254044259,0.7527344189580548
1862,6.4,7.647667269437577,0.7476837933623666
1863,6.4,7.63555999850005,0.7451326798910916
1864,6.4,7.6240741968346155,0.7407798190541353
1865,6.4,7.6225471193697265,0.7440432678661657
1866,6.4,7.587117540558344,0.7251048353312084
1867,6.4,7.581559805596009,0.7295613801840193
1868,6.3,7.572073885878502,0.727410316238648
1869,6.4,7.540975116817731,0.7107932253671713
1870,6.3,7.534054443278844,0.7108803646210556
1871,6.4,7.520742124261727,0.7070798213569359
1872,6.3,7.513183738572853,0.7037704366661311
1873,6.4,7.507084688039136,0.7055803767527661
1874,6.3,7.496853110414854,0.7028173020225464
1875,6.2,7.472659713805566,0.6929643848004954
1876,6.3,7.454407737304256,0.6880518413433194
1877,6.2,7.4547393603917245,0.691569917107606
1878,6.3,7.441172427265466,0.6868560994538712
1879,6.2,7.434730790805682,0.6898861124596293
1880,6.3,7.433939444137795,0.6952116871160786
1881,6.2,7.429061536150478,0.6970513959606783
1882,6.1,7.419889601500245,0.6963495144359686
1883,6.2,7.431778951826668,0.7072851642849011
1884,6.1,7.447185909924079,0.7215708448401127
1885,6.2,7.441828618136868,0.7201117515575767
1886,6.1,7.434298548506236,0.7175041955433742
1887,6.2,7.431537253711974,0.7163449951103805
1888,6.1,7.425603039379735,0.7151749337506607
1889,6.2,7.441463475227654,0.7319435137660277
1890,6.1,7.444202593918906,0.7385484374866618
1891,6.2,7.462279868112725,0.7546409167726909
1892,6.0,7.468367418902446,0.7635255048204509
1893,5.9,7.474363408644981,0.7692035072890662
1894,5.9,7.476959244517139,0.7678890491865865
1895,6.0,7.488003492409852,0.7712615302856712
1896,6.0,7.484065081769152,0.763354257122757
1897,6.0,7.508682134707341,0.7774903053699334
1898,5.9,7.519675950979827,0.7796090901368806
1899,6.0,7.528458738322042,0.7795465017071947
1900,5.9,7.543087636725719,0.7854620971733658
1901,6.0,7.540624850601072,0.778647169383257
1902,5.9,7.553200150480298,0.7848797070638811
1903,5.9,7.572952949130239,0.7925627471305039
1904,6.0,7.589911863941975,0.7979917262873514
1905,6.0,7.602091363690378,0.7979615578376948
1906,6.1,7.607878035731262,0.7947834411752366
1907,6.1,7.6229839795050705,0.7942078321229034
1908,6.1,7.636022521871399,0.7969702985282355
1909,6.2,7.65029535437593,0.8031884554171547
1910,6.2,7.672789857450094,0.8114735214205893
1911,6.3,7.70372847001722,0.8277932372671661
1912,6.2,7.7082703823430485,0.8198878629695834
1913,6.2,7.74438658431427,0.8370675953474098
1914,6.3,7.776115687196763,0.851185463602798
1915,6.4,7.808038569144807,0.864642192750954
1916,6.3,7.829572551307076,0.8704850323682513
1917,6.4,7.864969201277668,0.8851141800767085
1918,6.4,7.874712675110476,0.8825740983271633
1919,6.4,7.90009682462742,0.8886177621959657
1920,6.5,7.926375556919186,0.8965402842261501
1921,6.5,7.9545052917237475,0.9096503925821051
1922,6.4,7.9557520352741244,0.895812901879965
1923,6.5,7.97074216544899,0.898785136469529
1924,6.6,7.989830542739416,0.8955712597521881
1925,6.5,8.016280741376363,0.9095507156106823
1926,6.6,8.035183169874932,0.9099485705075708
1927,6.7,8.060756502306438,0.9147576371129982
1928,6.6,8.078536853697784,0.9205125413987917
1929,6.7,8.083333026589635,0.9113136009302202
1930,6.7,8.083985682299465,0.9010866191496721
1931,6.8,8.091240453589803,0.8984578272639432
1932,6.8,8.10421527619248,0.903156646508632
1933,6.8,8.09907649653869,0.8899140222510443
1934,6.8,8.10954248736024,0.8882171595740939
1935,6.8,8.113624879217848,0.8887996597131393
1936,6.9,8.12201213467976,0.8906164329679694
1937,7.0,8.138306478635261,0.900357354256556
1938,7.0,8.142250982374675,0.9020918758627546
1939,7.1,8.137923297452966,0.895924356164511
1940,7.0,8.138766962069349,0.8938104207076129
1941,7.0,8.16000027556155,0.907103514212061
1942,7.1,8.164724034132607,0.9070583821632866
1943,7.1,8.156991159028129,0.8962509507148803
1944,7.0,8.149113910342566,0.8880544659398787
1945,7.1,8.137346835601427,0.8770527226421917
1946,7.1,8.134310869365912,0.874893386134017
1947,7.1,8.121134550469295,0.8659196824144053
1948,7.1,8.093269891182851,0.8435659677987145
1949,7.0,8.095518993467575,0.8493352507502774
1950,7.0,8.081128912868465,0.8381605144509601
1951,7.1,8.062405928181514,0.8272428723509061
1952,7.0,8.053634746377575,0.8227009391869664
1953,7.1,8.038108710695374,0.8097102313665728
1954,7.0,8.024530599380943,0.8026508361125059
1955,7.1,8.020463384784648,0.8083247032143824
1956,7.0,8.022814733168616,0.8141445930276755
1957,7.1,8.015553756865936,0.8102100948269731
1958,7.0,8.00480577163292,0.80693669893406
1959,7.1,7.979507869573752,0.7955781181123097
1960,7.0,7.9667304849990215,0.7905849818090187
1961,7.1,7.973512558184568,0.802694616434928
1962,7.0,7.965429728447499,0.8012468288896264
1963,7.1,7.962921034495052,0.8025024789019392
1964,7.0,7.944248167910125,0.7972156127108636
1965,7.0,7.922474701453478,0.7883930526480288
1966,7.0,7.931390650029175,0.8012265184438855
1967,7.0,7.919269995826207,0.8014667224460512
1968,6.9,7.911568887256965,0.7999383613583407
1969,7.0,7.912917963311856,0.8080875895602374
1970,6.9,7.895725915641136,0.8012200803468236
1971,7.0,7.877030183677636,0.7935327346213897
1972,7.0,7.863467200818237,0.786118146298832
1973,6.9,7.856891517885912,0.7845361248469828
1974,7.0,7.832072509436829,0.7737430519368195
1975,6.9,7.829655625690105,0.7744436155997999
1976,6.8,7.821103068746852,0.7705509180095873
1977,6.8,7.812893599751547,0.7678613193089809
1978,6.8,7.814570143424343,0.775237057918091
1979,6.8,7.81551199116811,0.7818202115385506
1980,6.8,7.8030971879649655,0.7827953561147702
1981,6.8,7.804572378105237,0.7870984272526845
1982,6.8,7.8035605027745705,0.7907347965228719
1983,6.7,7.782485924885445,0.7765726561147412
1984,6.8,7.767595902220717,0.7673923722929434
1985,6.8,7.774381025788162,0.7730760938298257
1986,6.7,7.754040515959494,0.7612201855412801
1987,6.7,7.730080909079805,0.7517338085511044
1988,6.7,7.706556452920618,0.7416090005179423
1989,6.7,7.680290449734228,0.7319433928097617
1990,6.6,7.666747216111524,0.7276622618034618
1991,6.7,7.654066054732476,0.7249569158469799
1992,6.6,7.624280878193534,0.7096913848159071
1993,6.6,7.5954898091591225,0.6974852033700463
1994,6.6,7.578963363545742,0.6969798382364509
1995,6.5,7.550671763648743,0.6873052778684334
1996,6.6,7.540732960240953,0.6855274948372692
1997,6.5,7.511467246025223,0.6755584151974248
1998,6.5,7.482260729339325,0.6687355119680488
1999,6.4,7.44676397561626,0.6593700312404837
2000,6.4,7.416086888493097,0.6521735507671337
2001,6.3,7.382695163066465,0.6439950455119557
2002,6.4,7.375546562148089,0.6481923484080234
2003,6.3,7.33837338455959,0.6334554742294914
